Year,Provider,Quarter,Members,ACR,RiskFactor,Regionality,Members_Lag,Rate_Lag,ChurnRate,Treatment,QuarterInt,ACR_next,treatment,CATE_DR,CATE_XL,Quarter_Since_Start
2016,AOK Baden-Württemberg,2,3108506,1.0,1.001318694997145,Regional,3081619.0,1.0,-0.0087249591854152,0,2,1.0,0,-0.0003734905747935409,-0.0015099974124933916,2
2016,AOK Baden-Württemberg,3,3137197,1.0,1.001318694997145,Regional,3108506.0,1.0,-0.0092298358118015,0,3,1.0,0,0.0011508605501590792,-0.0015040425017354055,3
2016,AOK Baden-Württemberg,4,3175380,1.0,1.001318694997145,Regional,3137197.0,1.0,-0.0121710558820501,0,4,1.0,0,0.0012361484866608272,-0.000967564426214281,4
2017,AOK Baden-Württemberg,1,3197300,1.0,0.9853246841044032,Regional,3175380.0,1.0,-0.006903110808785,0,1,1.0,0,0.0014921348749161055,-0.0007530340201246516,5
2017,AOK Baden-Württemberg,2,3219811,1.0,0.9853246841044032,Regional,3197300.0,1.0,-0.0070406280299002,0,2,1.0,0,0.0010467107716947476,-0.0016605672021011834,6
2017,AOK Baden-Württemberg,3,3247255,1.0,0.9853246841044032,Regional,3219811.0,1.0,-0.0085234816577743,0,3,1.0,0,0.0006343232316753264,-0.002345966869358714,7
2017,AOK Baden-Württemberg,4,3283220,1.0,0.9853246841044032,Regional,3247255.0,1.0,-0.0110755083909332,0,4,1.0,0,0.0010915782697056419,-0.001950121264999408,8
2018,AOK Baden-Württemberg,1,3301147,1.0,0.9678536900657482,Regional,3283220.0,1.0,-0.0054601884735107,0,1,1.0,0,-0.0007478438695466563,-0.0017398240691361053,9
2018,AOK Baden-Württemberg,2,3334935,1.0,0.9678536900657482,Regional,3301147.0,1.0,-0.0102352303608412,0,2,1.0,0,-0.0003547596109866722,-0.0016898815958796293,10
2018,AOK Baden-Württemberg,3,3359667,1.0,0.9678536900657482,Regional,3334935.0,1.0,-0.0074160365944163,0,3,1.0,0,-0.00034046689928704277,-0.0017564437510816735,11
2018,AOK Baden-Württemberg,4,3404050,1.0,0.9678536900657482,Regional,3359667.0,1.0,-0.0132105354489001,0,4,0.9,0,0.0005286946315430841,-0.0013877393451008834,12
2019,AOK Baden-Württemberg,1,3387841,0.9,0.9720760721838372,Regional,3404050.0,1.0,0.0047616809388816,0,1,0.9,0,-0.0042200246241342896,-0.0018613881100379825,13
